D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
D&C Moscow Mule	Moscow Mule	Death & Co	Lime	.5	oz
D&C Moscow Mule	Moscow Mule	Death & Co	Ginger Syrup	.75	oz
D&C Moscow Mule	Moscow Mule	Death & Co	Club Soda	1	top
D&C Moscow Mule	Moscow Mule	Death & Co	Candied Ginger	1	unit
D&C Mudslideflip	Mudslideflip	Death & Co	Redbreast 12-Year Irish Whiskey	1.5	oz
D&C Mudslideflip	Mudslideflip	Death & Co	Coffee-Infused Carpano Antica Formula Sweet Vermouth	1	oz
D&C Mudslideflip	Mudslideflip	Death & Co	Demerara Syrup	.25	oz
D&C Mudslideflip	Mudslideflip	Death & Co	Egg	1	yolk
D&C Mudslideflip	Mudslideflip	Death & Co	Heavy Cream	.5	oz
D&C Mudslideflip	Mudslideflip	Death & Co	Angostura Bitters	1	dash
D&C Mudslideflip	Mudslideflip	Death & Co	Dark Chocolate	1	grate
D&C Negroni	Negroni	Death & Co	Tanqueray No. 10 Gin  1.5	oz
D&C Negroni	Negroni	Death & Co	Campari Liqueur	1	oz
D&C Negroni	Negroni	Death & Co	House Sweet Vermouth	1	oz
D&C Negroni	Negroni	Death & Co	Orange	1	twist
D&C Old-fashioned	Old-fashioned	Death & Co	Eagle Rare 10-Year Bourbon Whiskey	2	oz
D&C Old-fashioned	Old-fashioned	Death & Co	Demerara Syrup	1	tsp
D&C Old-fashioned	Old-fashioned	Death & Co	Angostura Bitters	2	dash
D&C Old-fashioned	Old-fashioned	Death & Co	Bitter Truth Aromatic Bitters	1	dash
D&C Old-fashioned	Old-fashioned	Death & Co	Orange	1	twist
D&C Old-fashioned	Old-fashioned	Death & Co	Lemon	1	twist
D&C Old Pal	Old Pal	Death & Co	Rittenhouse Bonded Rye Whiskey  1.5	oz
D&C Old Pal	Old Pal	Death & Co	Campari Liqueur	.75	oz
D&C Old Pal	Old Pal	Death & Co	Dolin Dry Vermouth	.75	oz
D&C Old Pal	Old Pal	Death & Co	Lemon	1	twist
D&C Paloma	Paloma	Death & Co	Kosher Salt	1	rim
D&C Paloma	Paloma	Death & Co	Lime	.5	unit
D&C Paloma	Paloma	Death & Co	El Tesoro Platinum Tequila	2	oz
D&C Paloma	Paloma	Death & Co	Grapefruit	.5	oz
D&C Paloma	Paloma	Death & Co	Simple Syrup	.5	oz
D&C Paloma	Paloma	Death & Co	San Pellegrino Pompelmo Grapefruit Soda	1	top
D&C Paloma	Paloma	Death & Co	Lime	1	wheel
D&C Pendennis Club Cocktail	Pendennis Club Cocktail	Death & Co	Plymouth Gin	2	oz
D&C Pendennis Club Cocktail	Pendennis Club Cocktail	Death & Co	Pendennis Mix	.75	oz
D&C Pendennis Club Cocktail	Pendennis Club Cocktail	Death & Co	Lime	.75	oz
D&C Pendennis Club Cocktail	Pendennis Club Cocktail	Death & Co	Peychaud’s Bitters	2	dash
D&C Pendennis Club Cocktail	Pendennis Club Cocktail	Death & Co	Lime	1	wedge
D&C Piña Colada	Piña Colada	Death & Co	Smith & Cross Jamaican Rum  1	oz
