D&C 20th Century	20th Century	Death & Co	Beefeater London Dry Gin  1.5	oz
PDT Benton’s Old-fashioned	Benton’s Old-fashioned	The PDT Cocktail Book	Benton’s Bacon Fat-Infused Four Roses Bourbon Whiskey	2	oz
PDT Benton’s Old-fashioned	Benton’s Old-fashioned	The PDT Cocktail Book	Grade B Maple Syrup	.25	oz
PDT Benton’s Old-fashioned	Benton’s Old-fashioned	The PDT Cocktail Book	Angostura Bitters	2	dash
PDT Benton’s Old-fashioned	Benton’s Old-fashioned	The PDT Cocktail Book	Orange	1	twist
PDT Berlioni	Berlioni	The PDT Cocktail Book	Tanqueray No. 10 Gin	1.5	oz
PDT Berlioni	Berlioni	The PDT Cocktail Book	Cynar Liqueur	.75	oz
PDT Berlioni	Berlioni	The PDT Cocktail Book	Noilly Prat Dry Vermouth	.5	oz
PDT Berlioni	Berlioni	The PDT Cocktail Book	Orange	1	twist
PDT Betsy Ross	Betsy Ross	The PDT Cocktail Book	Pierre Ferrand Ambre Cognac	2	oz
PDT Betsy Ross	Betsy Ross	The PDT Cocktail Book	Ruby Port	.75	oz
PDT Betsy Ross	Betsy Ross	The PDT Cocktail Book	Grand Marnier Liqueur	.5	oz
PDT Betsy Ross	Betsy Ross	The PDT Cocktail Book	Angostura Bitters	2	dash
PDT Betsy Ross	Betsy Ross	The PDT Cocktail Book	Nutmeg	1	grating
PDT Betula	Betula	The PDT Cocktail Book	Birch-Infused Rittenhouse Bonded Rye Whiskey	1	oz
PDT Betula	Betula	The PDT Cocktail Book	Matusalem Gran Reserva Rum	1	oz
PDT Betula	Betula	The PDT Cocktail Book	Lemon	.5	oz
PDT Betula	Betula	The PDT Cocktail Book	Grade B Maple Syrup	.5	oz
PDT Bijou	Bijou	The PDT Cocktail Book	Tanqueray No. 10 Gin	1	oz
PDT Bijou	Bijou	The PDT Cocktail Book	Dolin Rouge Sweet Vermouth	1	oz
PDT Bijou	Bijou	The PDT Cocktail Book	Green Chartreuse Liqueur	1	oz
PDT Bijou	Bijou	The PDT Cocktail Book	House Orange Bitters	1	dash
PDT Bijou	Bijou	The PDT Cocktail Book	Lemon	1	twist
PDT Bijou	Bijou	The PDT Cocktail Book	Cherry	1	unit
PDT Bizet	Bizet	The PDT Cocktail Book	Shinn Estate Rosé Wine	1.5	oz
PDT Bizet	Bizet	The PDT Cocktail Book	Luxardo Bitter Liqueur	.5	oz
PDT Bizet	Bizet	The PDT Cocktail Book	Amaro Ciociaro Liqueur	.5	oz
PDT Bizet	Bizet	The PDT Cocktail Book	Moët Imperial Champagne	Chapmagne	1	oz
PDT Bizet	Bizet	The PDT Cocktail Book	Orange	1	flamed twist
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Beefeater London Dry Gin	1.5	oz
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Krogstad Aquavit	.75	oz
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Pineapple	.75	oz
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Lemon	.5	oz
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Agave Syrup	.5	oz
PDT Blackbeard	Blackbeard	The PDT Cocktail Book	Blackberry	4	unit
PDT Black Flip	Black Flip	The PDT Cocktail Book	Brooklyn Black Chocolate Stout Beer	2	oz
PDT Black Flip	Black Flip	The PDT Cocktail Book	Cruzan Black Strap Rum	1.5	oz
PDT Black Flip	Black Flip	The PDT Cocktail Book	Demerara Syrup	.5	oz
PDT Black Flip	Black Flip	The PDT Cocktail Book	Egg	1	entire
PDT Black Flip	Black Flip	The PDT Cocktail Book	Nutmeg	1	grating
PDT Black Jack	Black Jack	The PDT Cocktail Book	Pierre Ferrand Ambre Cognac	1.5	oz
PDT Black Jack	Black Jack	The PDT Cocktail Book	Clear Creek Kirschwasser Brandy	.5	oz
PDT Black Jack	Black Jack	The PDT Cocktail Book	9th Street Alphabet City Coffee Concentrate	.5	oz
PDT Black Jack	Black Jack	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Black Jack	Black Jack	The PDT Cocktail Book	Cherry	3	unit
PDT Blackstar	Blackstar	The PDT Cocktail Book	Smirnoff Black Vodka	2	oz
PDT Blackstar	Blackstar	The PDT Cocktail Book	Lime	.75	oz
PDT Blackstar	Blackstar	The PDT Cocktail Book	Grapefruit	.75	oz
PDT Blackstar	Blackstar	The PDT Cocktail Book	Borsci Sambuca Liqueur	.25	oz
PDT Blackstar	Blackstar	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Black Thorn (english)	Black Thorn (english)	The PDT Cocktail Book	Plymouth Gin	1.5	oz
PDT Black Thorn (english)	Black Thorn (english)	The PDT Cocktail Book	Plymouth Sloe Gin Liqueur	.75	oz
PDT Black Thorn (english)	Black Thorn (english)	The PDT Cocktail Book	Carpano Antica Formula Sweet Vermouth	.75	oz
PDT Black Thorn (english)	Black Thorn (english)	The PDT Cocktail Book	House Orange Bitters	2	dash
PDT Black Thorn (english)	Black Thorn (english)	The PDT Cocktail Book	Orange	1	twist
PDT Black Thorn (irish)	Black Thorn (irish)	The PDT Cocktail Book	Black Bush Irish Whiskey	2	oz
PDT Black Thorn (irish)	Black Thorn (irish)	The PDT Cocktail Book	Dolin Dry Vermouth	1	oz
PDT Black Thorn (irish)	Black Thorn (irish)	The PDT Cocktail Book	Angostura Bitters	2	dash
PDT Black Thorn (irish)	Black Thorn (irish)	The PDT Cocktail Book	St. George Absinthe	1	rinse
PDT Black Thorn Rose	Black Thorn Rose	The PDT Cocktail Book	Hendrick’s Gin	2	oz
PDT Black Thorn Rose	Black Thorn Rose	The PDT Cocktail Book	Plymouth Sloe Gin Liqueur	.5	oz
PDT Black Thorn Rose	Black Thorn Rose	The PDT Cocktail Book	Lillet Rouge Aperitif Wine	.5	oz
PDT Black Thorn Rose	Black Thorn Rose	The PDT Cocktail Book	Mymoune Rose Syrup	1	barspoon
PDT Blinker	Blinker	The PDT Cocktail Book	Wild Turkey 101-proof Rye Whiskey	2	oz
PDT Blinker	Blinker	The PDT Cocktail Book	Grapefruit	1	oz
PDT Blinker	Blinker	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Blinker	Blinker	The PDT Cocktail Book	Raspberry	1	barspoon
PDT Blood And Sand	Blood And Sand	The PDT Cocktail Book	Famous Grouse Scotch Whisky	1.5	oz
PDT Blood And Sand	Blood And Sand	The PDT Cocktail Book	Orange	.75	oz
PDT Blood And Sand	Blood And Sand	The PDT Cocktail Book	Cherry Heering Liqueur	.5	oz
PDT Blood And Sand	Blood And Sand	The PDT Cocktail Book	Carpano Antica Formula Sweet Vermouth	.5	oz
PDT Bobby Burns	Bobby Burns	The PDT Cocktail Book	Benromach 12-Year Single Malt Scotch Whisky	2	oz
PDT Bobby Burns	Bobby Burns	The PDT Cocktail Book	Martini Sweet Vermouth	.75	oz
PDT Bobby Burns	Bobby Burns	The PDT Cocktail Book	Bénédictine Liqueur	1	barspoon
PDT Bobby Burns	Bobby Burns	The PDT Cocktail Book	Lemon`	1	twist
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Hine V.S.O.P. Cognac	2	oz
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Lemon	.75	oz
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Luxardo Maraschino Liqueur	.5	oz
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Marie Brizard Orange Curaçao Liqueur	.5	oz
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Marie Brizard Lemon	1	entire peel
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Orange	1	entire peel
PDT Brandy Crusta	Brandy Crusta	The PDT Cocktail Book	Sugar	1	rim
PDT Brazilian Tea Punch	Brazilian Tea Punch	The PDT Cocktail Book	Sencha Green Tea-Infused Leblon Cachaça	2	oz
PDT Brazilian Tea Punch	Brazilian Tea Punch	The PDT Cocktail Book	Lemongrass Syrup	1	barspoon
PDT Brazilian Tea Punch	Brazilian Tea Punch	The PDT Cocktail Book	Lime	1	disc
PDT Brewer’s Breakfast	Brewer’s Breakfast	The PDT Cocktail Book	Masumi Arabashiri Sake	2	oz
PDT Brewer’s Breakfast	Brewer’s Breakfast	The PDT Cocktail Book	Glen Thunder Corn Whiskey	1	oz
PDT Brewer’s Breakfast	Brewer’s Breakfast	The PDT Cocktail Book	Galliano L’Autentico Liqueur	.25	oz
PDT Brooklyn	Brooklyn	The PDT Cocktail Book	Rittenhouse Bonded Rye Whiskey	2	oz
PDT Brooklyn	Brooklyn	The PDT Cocktail Book	Dolin Dry Vermouth	.75	oz
PDT Brooklyn	Brooklyn	The PDT Cocktail Book	Luxardo Maraschino Liqueur	.25	oz
PDT Brooklyn	Brooklyn	The PDT Cocktail Book	Amer Picon Liqueur	.25	oz
PDT Bronx	Bronx	The PDT Cocktail Book	Beefeater London Dry Gin	2	oz
PDT Bronx	Bronx	The PDT Cocktail Book	Orange	.75	oz
PDT Bronx	Bronx	The PDT Cocktail Book	Dolin Dry Vermouth	.5	oz
PDT Bronx	Bronx	The PDT Cocktail Book	Carpano Antica Formula Sweet Vermouth	.5	oz
PDT Brown Bomber	Brown Bomber	The PDT Cocktail Book	George Dickel No. 12 Tennessee Whisky	2	oz
PDT Brown Bomber	Brown Bomber	The PDT Cocktail Book	Lillet Blanc Aperitif Wine	.75	oz
PDT Brown Bomber	Brown Bomber	The PDT Cocktail Book	Suze Liqueur	.5	oz
PDT Brown Bomber	Brown Bomber	The PDT Cocktail Book	Lemon	1	twist
PDT Brown Derby	Brown Derby	The PDT Cocktail Book	Maker’s Mark Bourbon Whiskey	2	oz
PDT Brown Derby	Brown Derby	The PDT Cocktail Book	Grapefruit	1	oz
PDT Brown Derby	Brown Derby	The PDT Cocktail Book	Honey Syrup	.75	oz
PDT Bubbaloo	Bubbaloo	The PDT Cocktail Book	Macchu Pisco	2.25	oz
PDT Bubbaloo	Bubbaloo	The PDT Cocktail Book	Carpano Antica Formula Sweet Vermouth	.5	oz
PDT Bubbaloo	Bubbaloo	The PDT Cocktail Book	Rothman & Winter Orchard Apricot Liqueur	.5	oz
PDT Bubbaloo	Bubbaloo	The PDT Cocktail Book	Peruvian Amargo Bitters	3	dash
PDT Buona Notte	Buona Notte	The PDT Cocktail Book	Walnut-Infused Hine V.S.O.P. Cognac	2	oz
PDT Buona Notte	Buona Notte	The PDT Cocktail Book	Yellow Chartreuse Liqueur	.5	oz
PDT Buona Notte	Buona Notte	The PDT Cocktail Book	Amaro Ciociaro Liqueur	.25	oz
PDT Buona Notte	Buona Notte	The PDT Cocktail Book	Orange	1	twist
PDT Café Arroz	Café Arroz	The PDT Cocktail Book	Horchata	2	oz
PDT Café Arroz	Café Arroz	The PDT Cocktail Book	Gran Centenario Reposado Tequila	1.5	oz
PDT Café Arroz	Café Arroz	The PDT Cocktail Book	Kahlúa	.5	oz
PDT Café Arroz	Café Arroz	The PDT Cocktail Book	Cinnamon	1	grating
PDT Caipirinha	Caipirinha	The PDT Cocktail Book	Beleza Pura Cachaça	2	oz
PDT Caipirinha	Caipirinha	The PDT Cocktail Book	Lime	.5	quartered
PDT Caipirinha	Caipirinha	The PDT Cocktail Book	Demerara Sugar	2	barspoon
PDT Caprice	Caprice	The PDT Cocktail Book	Beefeater London Dry Gin	1.5	oz
PDT Caprice	Caprice	The PDT Cocktail Book	Dolin Dry Vermouth	1.5	oz
PDT Caprice	Caprice	The PDT Cocktail Book	Bénédictine Liqueur	.5	oz
PDT Caprice	Caprice	The PDT Cocktail Book	House Orange Bitters	1	dash
PDT Cameron’s Kick	Cameron’s Kick	The PDT Cocktail Book	Famous Grouse Scotch Whisky	1	oz
PDT Cameron’s Kick	Cameron’s Kick	The PDT Cocktail Book	Jameson Irish Whiskey	1	oz
PDT Cameron’s Kick	Cameron’s Kick	The PDT Cocktail Book	Lemon	.75	oz
PDT Cameron’s Kick	Cameron’s Kick	The PDT Cocktail Book	Orgeat	.5	oz
PDT Cavalier	Cavalier	The PDT Cocktail Book	Hine V.S.O.P. Cognac	2	oz
PDT Cavalier	Cavalier	The PDT Cocktail Book	Lemon	.75	oz
PDT Cavalier	Cavalier	The PDT Cocktail Book	Cointreau Liqueur	.25	oz
PDT Cavalier	Cavalier	The PDT Cocktail Book	Orgeat	.25	oz
PDT Cavalier	Cavalier	The PDT Cocktail Book	Bonne Maman Apricot Preserves	1	barspoon
PDT Cavalier	Cavalier	The PDT Cocktail Book	House Orange Bitters	1	dash
PDT Cavalier	Cavalier	The PDT Cocktail Book	Lemon	1	twist (discard)
PDT Champagne Cocktail	Champagne Cocktail	The PDT Cocktail Book	Moët Imperial Champagne	6.5	oz
PDT Champagne Cocktail	Champagne Cocktail	The PDT Cocktail Book	Angostura Bitters-soaked sugar cube	1	unit
PDT Champagne Cocktail	Champagne Cocktail	The PDT Cocktail Book	Lemon	1	channel peel
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Hine V.S.O.P. Cognac	2	oz
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Lemon	.75	oz
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Green Chartreuse Liqueur	.5	oz
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Angostura Bitters	1	dash
PDT Champs-élysées	Champs-élysées	The PDT Cocktail Book	Lemon	1	twist
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Plymouth Gin	2	oz
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Lemon	1	oz
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Luxardo Maraschino Liqueur	.5	oz
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Simple Syrup	.5	oz
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Cherry	2	unit
PDT Cherry Pop	Cherry Pop	The PDT Cocktail Book	Cherry	1	(as garnish)
PDT Chrysanthemum	Chrysanthemum	The PDT Cocktail Book	Dolin Dry Vermouth	2	oz
PDT Chrysanthemum	Chrysanthemum	The PDT Cocktail Book	Bénédictine Liqueur	.75	oz
PDT Chrysanthemum	Chrysanthemum	The PDT Cocktail Book	Vieux Pontarlier Absinthe	.25	oz
PDT Chrysanthemum	Chrysanthemum	The PDT Cocktail Book	House Orange Bitters	1	dash
PDT Chrysanthemum	Chrysanthemum	The PDT Cocktail Book	Orange	1	twist
PDT Chien Chaud	Chien Chaud	The PDT Cocktail Book	Coconut Water	2	oz
PDT Chien Chaud	Chien Chaud	The PDT Cocktail Book	Rhum JM 100-proof Agricole Blanc	1.5	oz
PDT Chien Chaud	Chien Chaud	The PDT Cocktail Book	Yellow Chartreuse Liqueur	.25	oz
PDT Chien Chaud	Chien Chaud	The PDT Cocktail Book	Angostura Bitters	2	dash
PDT Cinema Highball	Cinema Highball	The PDT Cocktail Book	Coca-Cola Classic	4.5	oz
PDT Cinema Highball	Cinema Highball	The PDT Cocktail Book	Popcorn-Infused Flor de Caña Silver Dry Rum	2	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Tanqueray No. 10 Gin	1.5	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Yellow Chartreuse Liqueur	.5	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Grapefruit	.5	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Lemon	.25	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Cloister	Cloister	The PDT Cocktail Book	Grapefruit	1	twist
PDT Clover Club	Clover Club	The PDT Cocktail Book	Plymouth Gin	2	oz
PDT Clover Club	Clover Club	The PDT Cocktail Book	Lemon	.75	oz
PDT Clover Club	Clover Club	The PDT Cocktail Book	Simple Syrup	.5	oz
PDT Clover Club	Clover Club	The PDT Cocktail Book	Raspberry	1	barspoon
PDT Clover Club	Clover Club	The PDT Cocktail Book	Egg	1	white
PDT Coconut Colada	Coconut Colada	The PDT Cocktail Book	Flor de Caña Silver Dry Rum	2	oz
PDT Coconut Colada	Coconut Colada	The PDT Cocktail Book	Pineapple	1	oz
PDT Coconut Colada	Coconut Colada	The PDT Cocktail Book	Lime	.5	oz
PDT Coconut Colada	Coconut Colada	The PDT Cocktail Book	Ciao Bella Coconut Sorbet	1	scoop
PDT Coda	Coda	The PDT Cocktail Book	Pampero Aniversario Rum	1	oz
PDT Coda	Coda	The PDT Cocktail Book	Neisson Rhum Agricole Blanc	1	oz
PDT Coda	Coda	The PDT Cocktail Book	Lime	1	oz
PDT Coda	Coda	The PDT Cocktail Book	St. Elizabeth Allspice Dram Liqueur	.5	oz
PDT Coda	Coda	The PDT Cocktail Book	Simple Syrup	.5	oz
PDT Coda	Coda	The PDT Cocktail Book	Egg	1	entire
PDT Coda	Coda	The PDT Cocktail Book	Nutmeg	1	grating
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Partida Reposado Tequila	2	oz
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Bénédictine Liqueur	.75	oz
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Lustau Palo Cortado Sherry	.5	oz
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Lime	.5	oz
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Bitter Truth Celery Bitters	2	dash
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Gulden’s Spicy Brown Mustard	.25	tsp
PDT Condiment Cocktail	Condiment Cocktail	The PDT Cocktail Book	Lime	1	twist
PDT Coffee Cocktail	Coffee Cocktail	The PDT Cocktail Book	Martell V.S.O.P. Cognac	1.5	oz
PDT Coffee Cocktail	Coffee Cocktail	The PDT Cocktail Book	Noval Black Port	1.5	oz
PDT Coffee Cocktail	Coffee Cocktail	The PDT Cocktail Book	Simple Syrup	.25	oz
PDT Coffee Cocktail	Coffee Cocktail	The PDT Cocktail Book	Egg	1	entire
PDT Coffee Cocktail	Coffee Cocktail	The PDT Cocktail Book	Nutmeg	1	grating
PDT Conquistador	Conquistador	The PDT Cocktail Book	Matusalem Gran Reserva Rum	1	oz
PDT Conquistador	Conquistador	The PDT Cocktail Book	Siembra Azul Blanco Tequila	1	oz
PDT Conquistador	Conquistador	The PDT Cocktail Book	Simple Syrup	.75	oz
PDT Conquistador	Conquistador	The PDT Cocktail Book	Lemon	.5	oz
PDT Conquistador	Conquistador	The PDT Cocktail Book	Lime	.5	oz
PDT Conquistador	Conquistador	The PDT Cocktail Book	House Orange Bitters	2	dash
PDT Conquistador	Conquistador	The PDT Cocktail Book	Egg	1	white
PDT Cosmopolitan	Cosmopolitan	The PDT Cocktail Book	Hangar One Buddha’s Hand Vodka	2	oz
PDT Cosmopolitan	Cosmopolitan	The PDT Cocktail Book	Cointreau Liqueur	.75	oz
PDT Cosmopolitan	Cosmopolitan	The PDT Cocktail Book	Lime	.75	oz
PDT Cosmopolitan	Cosmopolitan	The PDT Cocktail Book	Cranberry Juice	.5	oz
PDT Cosmopolitan	Cosmopolitan	The PDT Cocktail Book	Orange	1	twist
PDT Corpse Reviver No. 2	Corpse Reviver No. 2	The PDT Cocktail Book	Plymouth Gin	.75	oz
PDT Corpse Reviver No. 2	Corpse Reviver No. 2	The PDT Cocktail Book	Cointreau Liqueur	.75	oz
PDT Corpse Reviver No. 2	Corpse Reviver No. 2	The PDT Cocktail Book	Lillet Blanc Aperitif Wine	.75	oz
PDT Corpse Reviver No. 2	Corpse Reviver No. 2	The PDT Cocktail Book	Lemon	.75	oz
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Beefeater London Dry Gin	2	oz
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Lustau East India Solera Sherry	.75	oz
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Cranberry	.5	oz
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Cranberry	7	berries
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Orange	1	wheel
PDT Cranberry Cobbler	Cranberry Cobbler	The PDT Cocktail Book	Lemon	1	wedge
PDT Cuzco	Cuzco	The PDT Cocktail Book	Barsol Pisco Quebranta Brandy	2	oz
PDT Cuzco	Cuzco	The PDT Cocktail Book	Aperol Liqueur	.75	oz
PDT Cuzco	Cuzco	The PDT Cocktail Book	Simple Syrup	.75	oz
PDT Cuzco	Cuzco	The PDT Cocktail Book	Lemon	.5	oz
PDT Cuzco	Cuzco	The PDT Cocktail Book	Grapefruit	.5	oz
PDT Cuzco	Cuzco	The PDT Cocktail Book	Grapefruit	1	twist
PDT Cuzco	Cuzco	The PDT Cocktail Book	Clear Creek Kirschwasser Brandy	1	rinse
PDT Death Bed	Death Bed	The PDT Cocktail Book	Pampero Aniversario Rum	1	oz
PDT Death Bed	Death Bed	The PDT Cocktail Book	Barbancourt White Rhum	.75	oz
PDT Death Bed	Death Bed	The PDT Cocktail Book	Cherry Heering Liqueur	.75	oz
PDT Death Bed	Death Bed	The PDT Cocktail Book	Lime	.75	oz
PDT Death Bed	Death Bed	The PDT Cocktail Book	Pineapple	.5	oz
PDT Death Bed	Death Bed	The PDT Cocktail Book	Brandied Cherry	1	unit
PDT Daiquiri	Daiquiri	The PDT Cocktail Book	Banks 5 Island Rum	2	oz
PDT Daiquiri	Daiquiri	The PDT Cocktail Book	Lime	.75	oz
PDT Daiquiri	Daiquiri	The PDT Cocktail Book	Simple Syrup	.75	oz
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	Wild Turkey 101-proof Rye Whiskey	2	oz
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	Dolin Rouge Sweet Vermouth	.75	oz
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	Bénédictine Liqueur	.75	oz
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	St. George Absinthe	3	dash
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	Peychaud’s Bitters	3	dash
PDT De La Louisiane	De La Louisiane	The PDT Cocktail Book	Brandied Cherry	3	unit
PDT Desert Rose	Desert Rose	The PDT Cocktail Book	Plymouth Gin	2	oz
PDT Desert Rose	Desert Rose	The PDT Cocktail Book	Lemon	.75	oz
PDT Desert Rose	Desert Rose	The PDT Cocktail Book	Pear	.5	oz
PDT Desert Rose	Desert Rose	The PDT Cocktail Book	Simple Syrup	.5	oz
PDT Deshler	Deshler	The PDT Cocktail Book	Rittenhouse Bonded Rye Whiskey	1.5	oz
PDT Deshler	Deshler	The PDT Cocktail Book	Dubonnet Rouge Aperitif Wine	1	oz
PDT Deshler	Deshler	The PDT Cocktail Book	Cointreau Liqueur	.25	oz
PDT Deshler	Deshler	The PDT Cocktail Book	Peychaud’s Bitters	2	dash
PDT Deshler	Deshler	The PDT Cocktail Book	Orange	1	twist
PDT Dewey D.	Dewey D.	The PDT Cocktail Book	Old Overholt Rye Whiskey	2	oz
PDT Dewey D.	Dewey D.	The PDT Cocktail Book	Lustau East India Solera Sherry	.75	oz
PDT Dewey D.	Dewey D.	The PDT Cocktail Book	Aperol Liqueur	.5	oz
PDT Dewey D.	Dewey D.	The PDT Cocktail Book	Angostura Bitters	2	dash
PDT Dewey D.	Dewey D.	The PDT Cocktail Book	Orange	1	twist
PDT Diamondback	Diamondback	The PDT Cocktail Book	Rittenhouse Bonded Rye Whiskey	2	oz
PDT Diamondback	Diamondback	The PDT Cocktail Book	Laird’s Bonded Apple Brandy	.5	oz
PDT Diamondback	Diamondback	The PDT Cocktail Book	Yellow Chartreuse Liqueur	.5	oz
PDT Donizetti	Donizetti	The PDT Cocktail Book	Tanqueray No. 10 Gin	2	oz
PDT Donizetti	Donizetti	The PDT Cocktail Book	Amaro Ciociaro Liqueur	.25	oz
PDT Donizetti	Donizetti	The PDT Cocktail Book	Rothman & Winter Orchard Apricot Liqueur	.25	oz
PDT Donizetti	Donizetti	The PDT Cocktail Book	Lemon	1	twist
PDT Dry County Cocktail	Dry County Cocktail	The PDT Cocktail Book	George Dickel No. 12 Tennessee Whisky	2	oz
PDT Dry County Cocktail	Dry County Cocktail	The PDT Cocktail Book	Dolin Dry Vermouth	1	oz
PDT Dry County Cocktail	Dry County Cocktail	The PDT Cocktail Book	Ginger	.5	oz
PDT Dry County Cocktail	Dry County Cocktail	The PDT Cocktail Book	Lemon Bitters	2	dash
PDT Dry County Cocktail	Dry County Cocktail	The PDT Cocktail Book	Lemon	1	twist
PDT Duboudreau Cocktail	Duboudreau Cocktail	The PDT Cocktail Book	Rittenhouse Bonded Rye Whiskey	2	oz
PDT Duboudreau Cocktail	Duboudreau Cocktail	The PDT Cocktail Book	Dubonnet Rouge Aperitif Wine	.75	oz
PDT Duboudreau Cocktail	Duboudreau Cocktail	The PDT Cocktail Book	Fernet-Branca Liqueur	.25	oz
PDT Duboudreau Cocktail	Duboudreau Cocktail	The PDT Cocktail Book	St-Germain Elderflower Liqueur	.25	oz
PDT Duboudreau Cocktail	Duboudreau Cocktail	The PDT Cocktail Book	Lemon	1	twist
PDT Dulce De Leche	Dulce De Leche	The PDT Cocktail Book	Don Julio Añejo Tequila	1.25	oz
PDT Dulce De Leche	Dulce De Leche	The PDT Cocktail Book	Toro Albalá Pedro Ximénez Sherry	.75	oz
PDT Dulce De Leche	Dulce De Leche	The PDT Cocktail Book	Heavy Cream	.5	oz
PDT Dulce De Leche	Dulce De Leche	The PDT Cocktail Book	Egg	1	entire
PDT Dulce De Leche	Dulce De Leche	The PDT Cocktail Book	Cinnamon	1	grating
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	Martell V.S.O.P. Cognac	1.75	oz
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	Marie Brizard Orange Curaçao Liqueur	.5	oz
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	Pineapple	.5	oz
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	Pampero Aniversario Rum	.25	oz
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	House Orange Bitters	2	dash
PDT East India Cocktail	East India Cocktail	The PDT Cocktail Book	Orange	1	twist
PDT East Village Athletic Club Cocktail	East Village Athletic Club Cocktail	The PDT Cocktail Book	Siembra Azul Blanco Tequila	1.5	oz
PDT East Village Athletic Club Cocktail	East Village Athletic Club Cocktail	The PDT Cocktail Book	Lemon	.75	oz
PDT East Village Athletic Club Cocktail	East Village Athletic Club Cocktail	The PDT Cocktail Book	Yellow Chartreuse Liqueur	.5	oz
PDT East Village Athletic Club Cocktail	East Village Athletic Club Cocktail	The PDT Cocktail Book	Grand Marnier Liqueur	.5	oz
PDT Eclipse Cocktail	Eclipse Cocktail	The PDT Cocktail Book	El Tesoro Añejo Tequila	2	oz
PDT Eclipse Cocktail	Eclipse Cocktail	The PDT Cocktail Book	Aperol Liqueur	.75	oz
PDT Eclipse Cocktail	Eclipse Cocktail	The PDT Cocktail Book	Cherry Heering Liqueur	.75	oz
PDT Eclipse Cocktail	Eclipse Cocktail	The PDT Cocktail Book	Lemon	.75	oz
PDT Eclipse Cocktail	Eclipse Cocktail	The PDT Cocktail Book	Lemon	1	twist
PDT Edgewood	Edgewood	The PDT Cocktail Book	Plymouth Gin	1.5	oz
PDT Edgewood	Edgewood	The PDT Cocktail Book	Grapefruit	1	oz
PDT Edgewood	Edgewood	The PDT Cocktail Book	Punt e Mes Sweet Vermouth	.5	oz
PDT Edgewood	Edgewood	The PDT Cocktail Book	Lillet Blanc Aperitif Wine	.5	oz
PDT El Burro	El Burro	The PDT Cocktail Book	Siembra Azul Reposado Tequila	1.5	oz
PDT El Burro	El Burro	The PDT Cocktail Book	Ginger Beer	1	oz
